City,StateID,lat,lng,density,id
Durham,NC,35.9792,-78.9022,950.8,1840013364
Pensacola,FL,30.4413,-87.1911,917,1840015005
Fayetteville,AR,36.0714,-94.1661,672.8,1840013368
Arlington,TX,32.6998,-97.125,1585.1,1840019422
Aurora,CO,39.7083,-104.7237,920.3,1840018794
Oxnard,CA,34.1964,-119.1815,2944.1,1840020474
Indio,CA,33.7346,-116.2346,1042.7,1840019304
Scranton,PA,41.4044,-75.6649,1161.3,1840003389
Victorville,CA,34.5277,-117.3536,704.1,1840021731
Trenton,NJ,40.2237,-74.7641,4571.3,1840001383
Modesto,CA,37.6375,-121.0028,1955.8,1840020287
Huntsville,AL,34.6981,-86.6412,376.2,1840005061
Honolulu,HI,21.3294,-157.846,2219.9,1840013305
Greensboro,NC,36.0956,-79.8271,873.2,1840013356
Anaheim,CA,33.839,-117.8574,2665.3,1840019322
Corpus Christi,TX,27.7254,-97.3767,756.1,1840019718
Fort Wayne,IN,41.0888,-85.1436,923,1840008261
Fort Collins,CO,40.5477,-105.0656,1142.2,1840020151
Jackson,MS,32.3157,-90.2125,529.9,1840014895
Myrtle Beach,SC,33.7094,-78.8844,594.6,1840014717
Fayetteville,NC,35.085,-78.9772,543.5,1840013490
Antioch,CA,37.9787,-121.796,1522.3,1840018903
Lansing,MI,42.7142,-84.5601,1114.5,1840003102
Lexington,KY,38.0423,-84.4587,437,1840015211
Mobile,AL,30.6782,-88.1162,515.7,1840006009
Youngstown,OH,41.0993,-80.6463,683.3,1840003563
Henderson,NV,36.0133,-115.0381,1153.8,1840020361
Savannah,GA,32.0286,-81.1821,524.8,1840015830
Poughkeepsie,NY,41.695,-73.9211,2380.4,1840000500
Santa Ana,CA,33.7367,-117.8819,4391.5,1840021964
Ann Arbor,MI,42.2759,-83.731,1671.9,1840003172
St. Paul,MN,44.9478,-93.1039,2294.1,1840008940
Newark,NJ,40.7245,-74.1725,4915.2,1840002791
Irvine,CA,33.6772,-117.7738,1792.1,1840019325
Santa Rosa,CA,38.4458,-122.7067,1618.1,1840021488
Canton,OH,40.8078,-81.3676,1034.3,1840000963
Asheville,NC,35.5707,-82.5537,795.6,1840013411
Flint,MI,43.0236,-83.6921,945.2,1840002949
Winter Haven,FL,28.0118,-81.7014,596.3,1840015970
Anchorage,AK,61.1508,-149.1091,65.8,1840023385
Lincoln,NE,40.8099,-96.6784,1132.1,1840009357
Concord,NC,35.3933,-80.6369,635.4,1840014559
Jersey City,NJ,40.7184,-74.0686,7537.2,1840003600
Springfield,MO,37.1943,-93.2916,784.5,1840009904
Plano,TX,33.0502,-96.7486,1534.7,1840020662
Shreveport,LA,32.4653,-93.7955,664.7,1840015768
Davenport,IA,41.5565,-90.6053,614,1840007081
Lubbock,TX,33.5657,-101.8879,722.2,1840020604
Lakeland,FL,28.0557,-81.9545,663.9,1840015108
South Bend,IN,41.6767,-86.2696,948.2,1840009241
Chula Vista,CA,32.6281,-117.0144,2147.6,1840019350
Chandler,AZ,33.2825,-111.8514,1624.6,1840019309
Rockford,IL,42.2596,-89.064,881.3,1840009132
Reading,PA,40.34,-75.9267,3710.8,1840001185
Eugene,OR,44.0564,-123.1174,1543.4,1840020007
Wilmington,NC,34.2099,-77.8866,878.3,1840015576
Santa Clarita,CA,34.4175,-118.4964,1232.5,1840021864
Gilbert,AZ,33.31,-111.7463,1503.9,1840021947
Salem,OR,44.9233,-123.0244,1387.5,1840021224
Killeen,TX,31.0753,-97.7297,1086.4,1840020854
Round Lake Beach,IL,42.3791,-88.0811,2084.1,1840011171
Columbus,GA,32.51,-84.8771,364.8,1840014887
North Las Vegas,NV,36.2883,-115.0888,996.2,1840020363
Kennewick,WA,46.1978,-119.1732,1138.5,1840018481
St. Petersburg,FL,27.7931,-82.6652,1620.2,1840015977
Tallahassee,FL,30.4551,-84.2527,751.3,1840015913
Laredo,TX,27.5625,-99.4874,922.7,1840021002
Irving,TX,32.8583,-96.9702,1469.7,1840019438
Peoria,IL,40.752,-89.6154,908.7,1840009373
Montgomery,AL,32.3482,-86.2668,482.6,1840008353
Chesapeake,VA,36.6778,-76.3023,284.5,1840003874
Glendale,AZ,33.5791,-112.2311,1451.1,1840020563
York,PA,39.9651,-76.7315,3267,1840001472
Nashua,NH,42.7491,-71.491,1138.8,1840002984
Garland,TX,32.91,-96.6304,1649.6,1840020707
Scottsdale,AZ,33.6872,-111.8651,504.7,1840021940
Lafayette,LA,30.2082,-92.0325,839.2,1840015044
Norfolk,VA,36.8945,-76.259,1717.4,1840003869
Arlington,VA,38.8786,-77.1011,3502.7,1840006112
Appleton,WI,44.278,-88.3892,1145.4,1840002400
Aguadilla,PR,18.4382,-67.1537,1751.5,1630035605
Rock Hill,SC,34.9415,-81.0241,655.4,1840014618
Fremont,CA,37.5265,-121.9843,1131,1840020292
Fargo,ND,46.8651,-96.8292,968.3,1840000177
Gulfport,MS,30.4274,-89.0704,503.4,1840013947
Bremerton,WA,47.5436,-122.7121,597.3,1840018410
Green Bay,WI,44.5148,-87.9895,907.1,1840002344
Enterprise,NV,36.0091,-115.2278,1319,1840033827
Hialeah,FL,25.8696,-80.3045,3989.5,1840015157
Deltona,FL,28.905,-81.2137,976.3,1840015072
San Bernardino,CA,34.1416,-117.2943,1373.7,1840021728
Gainesville,FL,29.6804,-82.3459,860.2,1840014022
Spring Valley,NV,36.0952,-115.2636,2393.6,1840033832
Tacoma,WA,47.2431,-122.4531,1702.7,1840021129
Roanoke,VA,37.2785,-79.9581,900.9,1840003858
Brownsville,TX,25.9975,-97.458,548.4,1840019743
College Station,TX,30.5852,-96.2959,909,1840019570
Olympia,WA,47.0417,-122.8959,1168.7,1840019865
Clarksville,TN,36.5692,-87.3413,650.9,1840014421
Yonkers,NY,40.9466,-73.8673,4498.4,1840003478
Moreno Valley,CA,33.9244,-117.2045,1577.1,1840020552
Thousand Oaks,CA,34.1914,-118.8756,884.1,1840021844
Portland,ME,43.6773,-70.2715,1223.9,1840000327
Fontana,CA,34.0968,-117.4599,1867.1,1840020402
Hickory,NC,35.741,-81.3223,539.2,1840014524
Amarillo,TX,35.1984,-101.8316,750.2,1840019156
Sioux Falls,SD,43.5396,-96.7311,926,1840002648
Evansville,IN,37.9881,-87.5341,953.2,1840013730
Huntington,WV,38.4109,-82.4345,1110.2,1840006211
Waterbury,CT,41.5582,-73.0361,1547.8,1840004851
Frisco,TX,33.156,-96.8216,1137.6,1840020654
Lorain,OH,41.4409,-82.184,1065.4,1840000644
Kalamazoo,MI,42.2749,-85.5882,1146.8,1840003185
Galveston,TX,29.2484,-94.8913,501.2,1840020970
Spartanburg,SC,34.9442,-81.9251,730.2,1840015482
Santa Barbara,CA,34.4285,-119.7202,1754.6,1840021829
Sunrise Manor,NV,36.1783,-115.0487,2271.3,1840033833
Huntington Beach,CA,33.696,-118.0018,2825.9,1840020578
Grand Prairie,TX,32.6871,-97.0208,1050.5,1840020709
Overland Park,KS,38.887,-94.687,1009.4,1840003834
McKinney,TX,33.2016,-96.667,1131,1840020657
Waco,TX,31.5599,-97.1882,604.6,1840022140
Hagerstown,MD,39.6401,-77.7217,1334,1840005613
Glendale,CA,34.1819,-118.2468,2464,1840020483
Nampa,ID,43.5844,-116.5638,1139.2,1840020041
Peoria,AZ,33.7843,-112.2989,419.5,1840020567
Cedar Rapids,IA,41.9662,-91.6783,724,1840000471
Vancouver,WA,45.6366,-122.5967,1510.4,1840021189
Paradise,NV,36.0872,-115.1355,1727.6,1840033743
Ocala,FL,29.178,-82.1511,518.8,1840015067
Erie,PA,42.1167,-80.0733,1913.7,1840000478
Newport News,VA,37.1051,-76.5185,1035.9,1840003862
Frederick,MD,39.4337,-77.4141,1263.9,1840005710
Murfreesboro,TN,35.849,-86.4121,926.1,1840014495
Fort Lauderdale,FL,26.1412,-80.1464,2039.5,1840014236
Aurora,IL,41.7638,-88.2902,1555.1,1840007034
Tempe,AZ,33.3881,-111.9319,1748.3,1840021942
Danbury,CT,41.4015,-73.4709,794.2,1840004837
Spring Hill,FL,28.4798,-82.53,753.2,1840014105
Gastonia,NC,35.2494,-81.1854,598.7,1840013468
Salinas,CA,36.6883,-121.6317,2672.8,1840021632
Fredericksburg,VA,38.2992,-77.4872,1044,1840003845
Ontario,CA,34.0393,-117.6064,1362,1840020410
Elk Grove,CA,38.4161,-121.3842,1596.1,1840020245
Gainesville,GA,34.2902,-83.8294,493.1,1840013612
Cary,NC,35.7819,-78.8195,1126.5,1840016196
Rancho Cucamonga,CA,34.1247,-117.5667,1450.5,1840020411
Oceanside,CA,33.2247,-117.3083,1625.3,1840020623
Garden Grove,CA,33.7787,-117.9601,3691.2,1840020577
Lancaster,CA,34.6935,-118.1753,702.2,1840020516
Hemet,CA,33.7341,-116.9969,1182.9,1840020550
Pembroke Pines,FL,26.0128,-80.3382,2014,1840015141
Panama City,FL,30.1995,-85.6003,373.9,1840015034
Vallejo,CA,38.1125,-122.2342,1588.3,1840021499
Manchester,NH,42.9848,-71.4447,1343.1,1840002983
Medford,OR,42.3372,-122.854,1191.6,1840020076
Bayamon,PR,18.3794,-66.1635,2404.7,1630035622
Mauldin,SC,34.7821,-82.3032,808.4,1840015476
Santa Cruz,CA,36.9789,-122.0346,1859.8,1840021579
Palmdale,CA,34.5944,-118.1057,607.5,1840020502
Norwich,CT,41.5495,-72.0882,551.1,1840004828
Muskegon,MI,43.2281,-86.2562,1045.2,1840002870
Leesburg,FL,28.7672,-81.8962,270.6,1840015083
High Point,NC,35.991,-79.9937,774.3,1840014479
Tuscaloosa,AL,33.2348,-87.5268,660,1840005563
Visalia,CA,36.3276,-119.3269,1433,1840021639
Marysville,WA,48.0809,-122.1561,1318.1,1840019789
Merced,CA,37.3057,-120.4779,1455.9,1840020313
Hayward,CA,37.6328,-122.0766,1353.4,1840020293
Lafayette,IN,40.3991,-86.8593,930.9,1840008354
Springfield,IL,39.7709,-89.654,721,1840009517
Corona,CA,33.8616,-117.5649,1532.6,1840019305
Paterson,NJ,40.9147,-74.1624,7244.8,1840000838
Alexandria,VA,38.8185,-77.0861,4074.1,1840003837
Macon,GA,32.8065,-83.6974,242.4,1840043455
Binghamton,NY,42.1014,-75.9093,1754.4,1840000460
Lakewood,CO,39.6977,-105.1172,1387.3,1840020198
Kansas City,KS,39.1235,-94.7443,481.1,1840001626
Odessa,TX,31.8801,-102.3448,850.4,1840020794
Sunnyvale,CA,37.3836,-122.0255,2705.4,1840021573
New Bedford,MA,41.6697,-70.9428,1942.4,1840003219
Hollywood,FL,26.0293,-80.1679,2164.4,1840015144
South Lyon,MI,42.4614,-83.6526,1216.5,1840002432
Escondido,CA,33.1348,-117.0723,1562.3,1840020620
Lake Charles,LA,30.201,-93.2111,670.5,1840015039
Pasadena,TX,29.6575,-95.1498,1331.1,1840020930
Bellevue,WA,47.5951,-122.1535,1737.5,1840018417
Joliet,IL,41.5188,-88.1499,882.1,1840008192
Champaign,IL,40.1142,-88.2737,1488.4,1840007239
Pomona,CA,34.0585,-117.7626,2516.9,1840020507
Fairfield,CA,38.2583,-122.0335,1108.7,1840020253
Mesquite,TX,32.7602,-96.5865,1175.4,1840020713
Elkhart,IN,41.6916,-85.9627,752.7,1840008187
Naperville,IL,41.748,-88.1659,1471.7,1840008143
St. George,UT,37.0758,-113.5752,481.3,1840021559
Roseville,CA,38.7703,-121.3196,1303.8,1840020233
Topeka,KS,39.0346,-95.6955,792.2,1840001621
Burlington,NC,36.076,-79.4685,726.6,1840013362
Warner Robins,GA,32.5961,-83.6527,819.4,1840015800
Surprise,AZ,33.6815,-112.4515,509.4,1840021941
Torrance,CA,33.8346,-118.3416,2737.4,1840021873
Santa Maria,CA,34.9333,-120.4431,1854.2,1840021830
Athens,GA,33.9508,-83.3689,420,1840029463
Houma,LA,29.58,-90.7059,883.2,1840015063
Columbia,MO,38.9472,-92.3268,725.2,1840007391
Fullerton,CA,33.8841,-117.9279,2450.2,1840020576
Olathe,KS,38.8833,-94.82,878.6,1840003833
Thornton,CO,39.9197,-104.9438,1500.2,1840021422
Greeley,CO,40.4152,-104.7706,843.2,1840020149
Beaumont,TX,30.0849,-94.1451,537.6,1840019612
Las Cruces,NM,32.3265,-106.7893,558.4,1840020683
Midland,TX,32.0243,-102.1147,673.3,1840020792
Metairie,LA,29.9977,-90.178,2334.8,1840013994
Carolina,PR,18.4054,-65.9792,2594.9,1630035637
West Valley City,UT,40.6886,-112.0123,1496.6,1840021389
Orange,CA,33.8038,-117.8218,2086.8,1840020582
Warren,MI,42.4934,-83.027,1556.5,1840002418
Grand Junction,CO,39.0877,-108.5673,628.7,1840020230
Tyler,TX,32.3184,-95.3062,711.1,1840022076
Pasadena,CA,34.1597,-118.139,2313.2,1840020505
Hampton,VA,37.0551,-76.363,1029.5,1840003866
Bloomington,IL,40.4757,-88.9703,1122,1840007207
Elizabeth,NJ,40.6658,-74.1913,4252.1,1840003613
Stamford,CT,41.1039,-73.5585,1389.9,1840004841
Yuma,AZ,32.5995,-114.5491,307.8,1840021998
Kent,WA,47.3887,-122.2128,1542.6,1840018424
Miramar,FL,25.9773,-80.3351,1808.6,1840015137
Coeur d'Alene,ID,47.704,-116.7936,1309.1,1840018402
Coral Springs,FL,26.2702,-80.2591,2259.4,1840015134
Sterling Heights,MI,42.5809,-83.0305,1416.8,1840003094
Yuba City,CA,39.1357,-121.6383,1751.4,1840021463
Yakima,WA,46.5923,-120.5496,1343.7,1840021154
Carrollton,TX,32.989,-96.8999,1393.3,1840019436
Racine,WI,42.7274,-87.8135,1932.5,1840002493
Johnson City,TN,36.3406,-82.3806,628.5,1840014462
Billings,MT,45.7891,-108.5526,998.3,1840018496
Iowa City,IA,41.6559,-91.5303,1127,1840000532
Dover,DE,39.161,-75.5202,634.2,1840005810
Bellingham,WA,48.7548,-122.469,1250.8,1840018346
Charleston,WV,38.3484,-81.6322,594.8,1840006196
Lynchburg,VA,37.4003,-79.1909,624.1,1840003855
Santa Clara,CA,37.3646,-121.968,2705.3,1840021571
Norman,OK,35.2335,-97.3471,276,1840020451
Greenville,NC,35.5943,-77.376,906.4,1840013407
Simi Valley,CA,34.2663,-118.749,1172.4,1840021843
Fort Smith,AR,35.3495,-94.3695,537.3,1840013456
Abilene,TX,32.4543,-99.7384,457.4,1840019476
Arecibo,PR,18.4491,-66.7387,1007.8,1630023566
Lewisville,TX,33.0454,-96.9815,1187.4,1840020639
Pearland,TX,29.5581,-95.3218,987.1,1840020979
Lehigh Acres,FL,26.612,-81.6388,518.3,1840014220
Kenosha,WI,42.5865,-87.8773,1341.2,1840003160
Seaside,CA,36.6224,-121.8199,1397.2,1840021634
Burlington,VT,44.4876,-73.2316,1673.1,1840002310
Arvada,CO,39.832,-105.151,1219,1840018788
Waldorf,MD,38.6085,-76.9194,863.7,1840006175
Independence,MO,39.0871,-94.3501,605.2,1840008534
Rochester,MN,44.0154,-92.478,836.8,1840008987
Logan,UT,41.7399,-111.8422,1142.4,1840020108
Harlingen,TX,26.1916,-97.6977,688.2,1840021036
Berkeley,CA,37.8722,-122.276,4492.7,1840018914
Clovis,CA,36.8278,-119.683,1801.3,1840018944
Round Rock,TX,30.527,-97.6642,1231.6,1840020879
Pueblo,CO,38.2701,-104.6114,765.4,1840020255
Temple,TX,31.1068,-97.3891,447,1840022154
Meridian,ID,43.6116,-116.3977,1271.9,1840020046
Duluth,MN,46.7756,-92.1393,467.5,1840007685
The Woodlands,TX,30.1738,-95.5134,1056.4,1840019585
Boulder,CO,40.0248,-105.2524,1534.8,1840018774
Richardson,TX,32.9716,-96.7093,1595.7,1840020710
Cambridge,MA,42.3759,-71.1185,7119.9,1840000429
West Palm Beach,FL,26.7469,-80.132,842.8,1840015993
Port Arthur,TX,29.8554,-93.9264,285.7,1840020919
East Los Angeles,CA,34.0326,-118.1691,6072.6,1840019206
Redding,CA,40.5698,-122.365,605.9,1840020141
Clearwater,FL,27.979,-82.7623,1727.4,1840015110
Monroe,LA,32.5185,-92.0774,620.2,1840014881
Utica,NY,43.0962,-75.2261,1494.5,1840002746
St. Cloud,MN,45.534,-94.1718,662.4,1840008881
Mandeville,LA,30.3751,-90.0904,665,1840015909
West Jordan,UT,40.6024,-112.0008,1390.4,1840021388
North Charleston,SC,32.9067,-80.0722,575.7,1840015164
Richmond,CA,37.9477,-122.3389,1485.9,1840020277
Westminster,CO,39.8837,-105.0624,1411.9,1840021423
Saginaw,MI,43.4199,-83.9501,1000.9,1840002813
Kailua,HI,21.392,-157.7396,2003.2,1840023244
Brandon,FL,27.9367,-82.3,1339.2,1840014151
Ponce,PR,18.0127,-66.6212,1509.8,1630023669
Carlsbad,CA,33.1246,-117.2834,1171.7,1840019352
Lowell,MA,42.6389,-71.3217,3254.9,1840000426
Broken Arrow,OK,36.038,-95.7806,700.6,1840019059
Elgin,IL,42.0383,-88.324,1159.4,1840008134
Gresham,OR,45.5021,-122.4413,1863.7,1840019939
League City,TX,29.4874,-95.1087,853,1840020973
Downey,CA,33.9379,-118.1311,3517.5,1840019245
Waterloo,IA,42.4918,-92.3522,421.6,1840000440
Murrieta,CA,33.5719,-117.1909,1288.3,1840020553
Leominster,MA,42.5209,-71.7717,584.3,1840000437
Longview,TX,32.5193,-94.7622,568.3,1840020746
Jacksonville,NC,34.7289,-77.3941,568.9,1840014653
Pompano Beach,FL,26.2428,-80.1312,1793.5,1840015143
Bend,OR,44.0563,-121.3095,1108.2,1840018618
Miami Gardens,FL,25.9433,-80.2426,2332.6,1840015151
Costa Mesa,CA,33.6667,-117.9135,2723.5,1840019326
Sioux City,IA,42.4959,-96.3901,564.5,1840000447
Everett,WA,47.9525,-122.1669,1273.7,1840019785
Gilroy,CA,37.0046,-121.5854,1370.5,1840020327
San Buenaventura,CA,34.2741,-119.2314,1948,1840037414
Temecula,CA,33.4928,-117.1315,1143.6,1840021937
Sugar Land,TX,29.5935,-95.6358,1050.2,1840022217
Chico,CA,39.7578,-121.8161,1152,1840018778
Eau Claire,WI,44.8197,-91.4948,804.6,1840002296
El Monte,CA,34.0739,-118.0291,4390.7,1840020480
Idaho Falls,ID,43.4871,-112.0362,971.5,1840018644
Dearborn,MI,42.3127,-83.213,1726.4,1840003969
Bloomington,IN,39.1637,-86.5257,1312,1840007376
West Covina,CA,34.0555,-117.9113,2604.4,1840021876
Sparks,NV,39.5736,-119.7161,1143,1840021337
South Fulton,GA,33.6273,-84.58,447.9,1840029465
Centennial,CO,39.5926,-104.8673,1398.1,1840018792
Sandy Springs,GA,33.9366,-84.3703,1099.3,1840015609
Inglewood,CA,33.9566,-118.3444,4547.9,1840019237
Hillsboro,OR,45.5273,-122.936,1592.8,1840019932
Columbia,MD,39.2004,-76.859,1288.9,1840005803
Burbank,CA,34.1879,-118.3235,2372.2,1840019233
Davie,FL,26.0789,-80.287,1170.9,1840017272
El Cajon,CA,32.8017,-116.9604,2813.3,1840020618
Jurupa Valley,CA,34.001,-117.4706,950.2,1840043419
Allen,TX,33.1088,-96.6735,1542.1,1840019396
Auburn,AL,32.6087,-85.4903,476.6,1840013810
Renton,WA,47.4784,-122.1918,1728,1840019827
Holland,MI,42.7677,-86.0984,791.2,1840002996
Brockton,MA,42.0821,-71.0242,1895.2,1840000467
Rio Rancho,NM,35.2873,-106.6982,389.8,1840020387
San Mateo,CA,37.5522,-122.3121,3314.5,1840021551
Rialto,CA,34.1175,-117.3892,1664.7,1840020407
Spokane Valley,WA,47.6626,-117.2346,1062.1,1840021094
Charlottesville,VA,38.0375,-78.4855,1744.5,1840001678
Menifee,CA,33.6909,-117.1849,861.6,1840022903
Daly City,CA,37.6862,-122.4685,5239.1,1840018926
Wichita Falls,TX,33.9072,-98.5291,547.5,1840021923
Riverview,FL,27.8227,-82.3023,856.7,1840014158
Norwalk,CA,33.9069,-118.0829,4052.7,1840020501
Lee's Summit,MO,38.9171,-94.3816,614.7,1840032155
Longmont,CO,40.1686,-105.1005,1316.7,1840020178
Vacaville,CA,38.3587,-121.9673,1313.7,1840021498
Highlands Ranch,CO,39.5419,-104.9708,1615,1840028579
Kingsport,TN,36.5224,-82.5454,406.7,1840014425
San Tan Valley,AZ,33.1786,-111.5629,515.6,1840027990
Quincy,MA,42.2506,-71.0187,2352.6,1840000461
Edinburg,TX,26.3196,-98.1597,871.6,1840021020
Lynn,MA,42.4781,-70.9664,3618.8,1840000409
San Angelo,TX,31.4424,-100.4504,640,1840022146
Hesperia,CA,34.3975,-117.3147,530.6,1840020404
Bowling Green,KY,36.9716,-86.4378,681.7,1840013265
Federal Way,WA,47.3091,-122.3358,1722.5,1840019826
Carmel,IN,39.965,-86.146,782.3,1840007260
Bismarck,ND,46.8143,-100.7694,820.3,1840001926
Fishers,IN,39.9588,-85.9659,1063,1840010496
Lafayette,CO,39.9946,-105.0998,1268.3,1840020180
Vista,CA,33.1896,-117.2386,2026.6,1840021994
Boca Raton,FL,26.3752,-80.108,1296.5,1840014207
St. Augustine,FL,29.8976,-81.31,593.7,1840015935
Beaverton,OR,45.4779,-122.8168,1920.3,1840018556
Goodyear,AZ,33.2614,-112.3622,196.9,1840020564
Portsmouth,VA,36.8468,-76.354,1129.1,1840003872
Orem,UT,40.2981,-111.6994,2013.8,1840020171
Sunrise,FL,26.1547,-80.2997,2300.4,1840016000
Portsmouth,NH,43.058,-70.7826,545.8,1840002932
Arden-Arcade,CA,38.6017,-121.3845,2333.7,1840036690
Lawrence,KS,38.9597,-95.2642,1075.1,1840001632
